,feature,feature_transformed,coef,importance_transformed,importance
0,CHK_ACCT,CHK_ACCT_0,0.7558691435908671,0.30055010612924643,0.8496901078853907
1,CHK_ACCT,CHK_ACCT_1,0.19584513417018867,0.07720215188988926,0.8496901078853907
2,CHK_ACCT,CHK_ACCT_2,0.0,0.0,0.8496901078853907
3,CHK_ACCT,CHK_ACCT_3,-0.985282183493843,0.471937849866255,0.8496901078853907
7,HISTORY,HISTORY_2,0.12151348554519446,0.06045903473301128,0.5030932849900882
9,HISTORY,HISTORY_4,-0.8390030318006245,0.3463797797944099,0.5030932849900882
8,HISTORY,HISTORY_3,-0.24624654634170337,0.03830365028345233,0.5030932849900882
5,HISTORY,HISTORY_0,0.24510248918882166,0.018823871169701755,0.5030932849900882
6,HISTORY,HISTORY_1,0.42186811156184567,0.03912694900951284,0.5030932849900882
16,SAV_ACCT,SAV_ACCT_0,0.42713363412101685,0.2054459388417836,0.4012032003625844
20,SAV_ACCT,SAV_ACCT_4,-0.4190027890425591,0.13026272957846932,0.4012032003625844
19,SAV_ACCT,SAV_ACCT_3,-0.33739901877524586,0.027460062640570278,0.4012032003625844
18,SAV_ACCT,SAV_ACCT_2,0.0,0.0,0.4012032003625844
17,SAV_ACCT,SAV_ACCT_1,0.20026376267484355,0.038034469301761166,0.4012032003625844
4,DURATION,DURATION,0.40334103879268607,0.33081132887422293,0.33081132887422293
24,EMPLOYMENT,EMPLOYMENT_3,-0.378350895820572,0.11229336353299744,0.2829565644908946
25,EMPLOYMENT,EMPLOYMENT_4,-0.07454819570333825,0.027483823087817133,0.2829565644908946
21,EMPLOYMENT,EMPLOYMENT_0,0.044152238582058224,0.004980372512056191,0.2829565644908946
23,EMPLOYMENT,EMPLOYMENT_2,0.0,0.0,0.2829565644908946
22,EMPLOYMENT,EMPLOYMENT_1,0.48687872768732215,0.13819900535802387,0.2829565644908946
42,NUM_CREDITS,NUM_CREDITS,0.23388858635995619,0.22453742921944678,0.22453742921944678
34,PRESENT_RESIDENT,PRESENT_RESIDENT_3,-0.07731939231596183,0.019716445040570053,0.22413828953125317
33,PRESENT_RESIDENT,PRESENT_RESIDENT_2,0.3838607031018382,0.16311080970084973,0.22413828953125317
32,PRESENT_RESIDENT,PRESENT_RESIDENT_1,-0.18263056936266012,0.041311034789833403,0.22413828953125317
35,PRESENT_RESIDENT,PRESENT_RESIDENT_4,0.0,0.0,0.22413828953125317
26,INSTALL_RATE,INSTALL_RATE,0.23502568047900488,0.21520564663576597,0.21520564663576597
10,NEW_CAR,NEW_CAR,0.5480213918065617,0.19920406335483537,0.19920406335483537
39,OTHER_INSTALL,OTHER_INSTALL,0.5763647491125097,0.17380279009487873,0.17380279009487873
50,AMOUNT,AMOUNT,0.1907903871999331,0.14260275514092327,0.14260275514092327
28,MALE_SINGLE,MALE_SINGLE,-0.2629805648872098,0.1287256992552287,0.1287256992552287
11,USED_CAR,USED_CAR,-0.6235700801386566,0.11472910011951223,0.11472910011951223
40,RENT,RENT,0.3190242075863067,0.09055402437272488,0.09055402437272488
36,REAL_ESTATE,REAL_ESTATE,-0.20932985500047444,0.08417088053989298,0.08417088053989298
48,TELEPHONE,TELEPHONE,-0.166205245500841,0.0792612040137821,0.0792612040137821
37,PROP_UNKN_NONE,PROP_UNKN_NONE,0.26303613395790204,0.06890231529027113,0.06890231529027113
38,AGE,AGE,-0.07900133777303403,0.06633630779917321,0.06633630779917321
13,RADIO/TV,RADIO/TV,-0.14296768826596618,0.0585720747864623,0.0585720747864623
31,GUARANTOR,GUARANTOR,-0.5309096185145783,0.05281887067196947,0.05281887067196947
49,FOREIGN,FOREIGN,-0.5089692343822994,0.036741216606971744,0.036741216606971744
30,CO-APPLICANT,CO-APPLICANT,0.38830386106791825,0.033374716858788116,0.033374716858788116
47,NUM_DEPENDENTS,NUM_DEPENDENTS,0.036271974054530365,0.026340140896361667,0.026340140896361667
27,MALE_DIV,MALE_DIV,0.30088052599930376,0.025860681209639916,0.025860681209639916
14,EDUCATION,EDUCATION,0.2421044125038901,0.021907423026445966,0.021907423026445966
46,JOB,JOB_3,0.0,0.0,0.008830772435043488
45,JOB,JOB_2,0.0,0.0,0.008830772435043488
43,JOB,JOB_0,0.0324155019895963,0.0012706876779921778,0.008830772435043488
44,JOB,JOB_1,-0.02362526486578546,0.00756008475705131,0.008830772435043488
12,FURNITURE,FURNITURE,-0.024955013968148594,0.007001051184345484,0.007001051184345484
15,RETRAINING,RETRAINING,0.0,0.0,0.0
41,OWN_RES,OWN_RES,0.0,0.0,0.0
29,MALE_MAR_WID,MALE_MAR_WID,0.0,0.0,0.0
